STATE,PLANT,LAT,LON,COAL,OIL,GAS,NUCLEAR,HYDRO,BIOMASS,WIND,SOLAR,GEOTHERMAL,OTHER,TOTAL GENERATION,PERCENT COAL,PERCENT OIL,PERCENT GAS,PERCENT NUCLEAR,PERCENT HYDRO,PERCENT BIOMASS,PERCENT WIND,PERCENT SOLAR,PERCENT GEOTHERMAL,PERCENT OTHER,TOTAL RENEWABLE,TOTAL NONRENEWABLE,PERCENT RENEWABLE,PERCENT NONRENEWABLE
AK,AGRIUM KENAI NITROGEN OPERATIONS,60.0656,-151.6719,0,0,114490.6,0,0,0,0,0,0,0,114490.6,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,114490.6,0.00%,100.00%
AK,ALAKANUK,60.2992,-159.7343,0,1474,0,0,0,0,0,0,0,0,1474,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,1474,0.00%,100.00%
AK,ALLAKAKET,64.8557,-146.2789,0,570,0,0,0,0,0,0,0,0,570,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,570,0.00%,100.00%
AK,ALYESKA SEAFOODS INC,51.9961,-175.5654,0,10717.4,0,0,0,0,0,0,0,0,10717.4,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,10717.4,0.00%,100.00%
AK,AMBLER,0,0,0,1130,0,0,0,0,0,0,0,0,1130,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,1130,0.00%,100.00%
AK,AMERICAN PRESIDENT LINES LTD,51.9961,-175.5654,0,6154.5,0,0,0,0,0,0,0,0,6154.5,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,6154.5,0.00%,100.00%
AK,ANCHORAGE 1,61.1095,-149.4381,0,82,10345,0,0,0,0,0,0,0,10427,0.00%,0.79%,99.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,10427,0.00%,100.00%
AK,ANIAK,60.2992,-159.7343,0,2543,0,0,0,0,0,0,0,0,2543,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,2543,0.00%,100.00%
AK,ANNA PLATFORM,60.0656,-151.6719,0,0,8387.2,0,0,0,0,0,0,0,8387.2,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,8387.2,0.00%,100.00%
AK,ANNEX CREEK,58.3849,-134.1888,0,0,0,0,24722,0,0,0,0,0,24722,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24722,0,100.00%,0.00%
AK,ANVIK,60.2992,-159.7343,0,422,0,0,0,0,0,0,0,0,422,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,422,0.00%,100.00%
AK,AUKE BAY,58.3849,-134.1888,0,2163,0,0,0,0,0,0,0,0,2163,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,2163,0.00%,100.00%
AK,AURORA ENERGY LLC,64.8557,-146.2789,148787.4,0,0,0,0,0,0,0,0,0,148787.4,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,148787.4,0.00%,100.00%
AK,BAKER PLATFORM,60.0656,-151.6719,0,0,14958.4,0,0,0,0,0,0,0,14958.4,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,14958.4,0.00%,100.00%
AK,BARROW,69.702,-153.9798,0,0,51213,0,0,0,0,0,0,0,51213,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,51213,0.00%,100.00%
AK,BEAVER FALLS,55.5426,-131.4359,0,0,0,0,42162,0,0,0,0,0,42162,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42162,0,100.00%,0.00%
AK,BELUGA,60.0656,-151.6719,0,0,1947226,0,0,0,0,0,0,0,1947226,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,1947226,0.00%,100.00%
AK,BERING STAR,51.9961,-175.5654,0,2665.1,0,0,0,0,0,0,0,0,2665.1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,2665.1,0.00%,100.00%
AK,BERNICE LAKE,60.0656,-151.6719,0,0,242912,0,0,0,0,0,0,0,242912,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,242912,0.00%,100.00%
AK,BETHEL,60.2992,-159.7343,0,4167,0,0,0,0,0,0,0,0,4167,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,4167,0.00%,100.00%
AK,BETTLES LIGHT & PWR,65.2014,-151.0227,0,825,0,0,0,0,0,0,0,0,825,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,825,0.00%,100.00%
AK,BLACK BEAR LAKE,55.5135,-132.0062,0,0,0,0,21622,0,0,0,0,0,21622,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21622,0,100.00%,0.00%
AK,BLUE LAKE,0,0,0,0,0,0,37581,0,0,0,0,0,37581,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,37581,0,100.00%,0.00%
AK,BLUE LAKE FISH VALVE,0,0,0,0,0,0,5866,0,0,0,0,0,5866,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5866,0,100.00%,0.00%
AK,BRADLEY LAKE,60.0656,-151.6719,0,0,0,0,360693,0,0,0,0,0,360693,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,360693,0,100.00%,0.00%
AK,BREVIG MISSION,64.8202,-163.7929,0,653,0,0,0,0,0,0,0,0,653,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,653,0.00%,100.00%
AK,BRUCE PLATFORM,60.0656,-151.6719,0,0,4450.1,0,0,0,0,0,0,0,4450.1,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,4450.1,0.00%,100.00%
AK,CENTENNIAL,55.5426,-131.4359,0,485,0,0,0,0,0,0,0,0,485,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,485,0.00%,100.00%
AK,CENTRAL PRODUCTION FACILITY 1,69.702,-153.9798,0,0,208045.5,0,0,0,0,0,0,0,208045.5,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,208045.5,0.00%,100.00%
AK,CENTRAL PRODUCTION FACILITY 2,69.702,-153.9798,0,0,97859.9,0,0,0,0,0,0,0,97859.9,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,97859.9,0.00%,100.00%
AK,CENTRAL PRODUCTION FACILITY 3,69.702,-153.9798,0,0,116864.1,0,0,0,0,0,0,0,116864.1,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,116864.1,0.00%,100.00%
AK,CHENA,64.8557,-146.2789,0,67,0,0,0,0,0,0,0,0,67,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,67,0.00%,100.00%
AK,CHESTER LAKE,55.5426,-131.4359,0,0,0,0,2136,0,0,0,0,0,2136,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2136,0,100.00%,0.00%
AK,CHEVAK,60.2992,-159.7343,0,1670,0,0,0,0,0,0,0,0,1670,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,1670,0.00%,100.00%
AK,CHISTOCHINA,64.8557,-146.2789,0,290,0,0,0,0,0,0,0,0,290,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,290,0.00%,100.00%
AK,COFFMAN COVE,55.5135,-132.0062,0,954,0,0,0,0,0,0,0,0,954,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,954,0.00%,100.00%
AK,COOPER LAKE,60.0656,-151.6719,0,0,0,0,14263,0,0,0,0,0,14263,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14263,0,100.00%,0.00%
AK,CRAIG,55.5135,-132.0062,0,2425,0,0,0,0,0,0,0,0,2425,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,2425,0.00%,100.00%
AK,DILLINGHAM,58.271,-156.6659,0,620,0,0,0,0,0,0,0,0,620,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,620,0.00%,100.00%
AK,DILLON PLATFORM,60.0656,-151.6719,0,619.8,3268.1,0,0,0,0,0,0,0,3887.9,0.00%,15.94%,84.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,3887.9,0.00%,100.00%
AK,EAGLE,64.8557,-146.2789,0,713,0,0,0,0,0,0,0,0,713,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,713,0.00%,100.00%
AK,EEK,60.2992,-159.7343,0,599,0,0,0,0,0,0,0,0,599,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,599,0.00%,100.00%
AK,EGEGIK,0,0,0,769,0,0,0,0,0,0,0,0,769,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,769,0.00%,100.00%
AK,EIELSON AIR FORCE BASE CENTRAL HEAT,64.8557,-146.2789,74350.9,823.9,0,0,0,0,0,0,0,0,75174.8,98.90%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,75174.8,0.00%,100.00%
AK,ELIM,64.8202,-163.7929,0,890,0,0,0,0,0,0,0,0,890,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,890,0.00%,100.00%
AK,EMMONAK,60.2992,-159.7343,0,2470,0,0,0,0,0,0,0,0,2470,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,2470,0.00%,100.00%
AK,FAIRBANKS,64.8557,-146.2789,0,3054,0,0,0,0,0,0,0,0,3054,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,3054,0.00%,100.00%
AK,FORT GREELY POWER PLANT,61.1095,-149.4381,0,777.2,0,0,0,0,0,0,0,0,777.2,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,777.2,0.00%,100.00%
AK,GAMBELL,64.8202,-163.7929,0,1968,0,0,0,0,0,0,0,0,1968,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,1968,0.00%,100.00%
AK,GEORGE M SULLIVAN,61.1095,-149.4381,0,157,881927,0,0,0,0,0,0,0,882084,0.00%,0.02%,99.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,882084,0.00%,100.00%
AK,GLENNALLEN,61.4602,-144.9163,0,16413,0,0,0,0,0,0,0,0,16413,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,16413,0.00%,100.00%
AK,GOAT LAKE HYDRO,0,0,0,0,0,0,19201,0,0,0,0,0,19201,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19201,0,100.00%,0.00%
AK,GOLD CREEK,58.3849,-134.1888,0,175,0,0,5355,0,0,0,0,0,5530,0.00%,3.16%,0.00%,0.00%,96.84%,0.00%,0.00%,0.00%,0.00%,0.00%,5355,175,96.84%,3.16%
AK,GOODNEWS BAY,60.2992,-159.7343,0,608,0,0,0,0,0,0,0,0,608,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,608,0.00%,100.00%
AK,GRAYLING,60.2992,-159.7343,0,504,0,0,0,0,0,0,0,0,504,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,504,0.00%,100.00%
AK,GRAYLING PLATFORM,60.0656,-151.6719,0,0,15522.2,0,0,0,0,0,0,0,15522.2,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,15522.2,0.00%,100.00%
AK,GREEN LAKE,0,0,0,0,0,0,50774,0,0,0,0,0,50774,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50774,0,100.00%,0.00%
AK,GWITCHYAA ZHEE,65.2014,-151.0227,0,260,0,0,0,0,0,0,0,0,260,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,260,0.00%,100.00%
AK,HAINES,58.9284,-135.4073,0,662,0,0,0,0,0,0,0,0,662,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,662,0.00%,100.00%
AK,HEALY,63.936,-150.1263,184901,376,0,0,0,0,0,0,0,0,185277,99.80%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,185277,0.00%,100.00%
AK,HEALY LAKE,64.8557,-146.2789,0,138,0,0,0,0,0,0,0,0,138,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,138,0.00%,100.00%
AK,HOLLIS,55.5135,-132.0062,0,532,0,0,0,0,0,0,0,0,532,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,532,0.00%,100.00%
AK,HOLY CROSS,60.2992,-159.7343,0,696,0,0,0,0,0,0,0,0,696,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,696,0.00%,100.00%
AK,HOOPER BAY,60.2992,-159.7343,0,2358,0,0,0,0,0,0,0,0,2358,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,2358,0.00%,100.00%
AK,HUSLIA,64.8557,-146.2789,0,829,0,0,0,0,0,0,0,0,829,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,829,0.00%,100.00%
AK,HYDABURG,55.5135,-132.0062,0,1458,0,0,0,0,0,0,0,0,1458,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,1458,0.00%,100.00%
AK,I-N-N ELECTRIC,0,0,0,417,0,0,0,0,0,0,0,0,417,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,417,0.00%,100.00%
AK,INDIAN RIVER,0,0,0,102,0,0,0,0,0,0,0,0,102,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,102,0.00%,100.00%
AK,INTERNATIONAL,61.1095,-149.4381,0,0,977,0,0,0,0,0,0,0,977,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,977,0.00%,100.00%
AK,KALTAG,0,0,0,728,0,0,0,0,0,0,0,0,728,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,728,0.00%,100.00%
AK,KETCHIKAN,55.5426,-131.4359,0,0,0,0,23215,0,0,0,0,0,23215,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23215,0,100.00%,0.00%
AK,KIANA,0,0,0,1334,0,0,0,0,0,0,0,0,1334,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,1334,0.00%,100.00%
AK,KING COVE,55.644,-161.9602,0,8649.7,0,0,0,0,0,0,0,0,8649.7,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,8649.7,0.00%,100.00%
AK,KIVALINA,0,0,0,1080,0,0,0,0,0,0,0,0,1080,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,1080,0.00%,100.00%
